Compstr,Etot,Eform
CuTa,-7.571098,0.207104
MnTa,-10.693152,-0.352777
CrTa,-10.717891,-0.043819
VTa,-10.376682,0.024746
ZnTa,-6.247251,0.193429
MoTa,-11.608640,-0.204143
WTa,-12.542314,-0.102898
AlTa,-7.706089,0.047654
TiTa,-9.698514,0.062809
TaTa,-11.861356,0.000000
NbTa,-11.029192,0.004752
HfTa,-10.716824,0.101787
ZrTa,-9.980182,0.162286
NiNb,-7.876203,-0.084765
CoNb,-8.614279,-0.038195
FeNb,-9.298692,-0.074256
CuNb,-6.781804,0.168986
MnNb,-9.742611,-0.229648
CrNb,-9.811207,0.035453
VNb,-9.518838,0.055178
ZnNb,-5.538718,0.074550
MoNb,-10.702486,-0.125402
WNb,-11.653851,-0.041847
AlNb,-7.003287,-0.076956
TiNb,-8.910100,0.023811
TaNb,-11.029192,0.004752
NbNb,-10.206531,0.000000
HfNb,-9.951108,0.040092
ZrNb,-9.222138,0.092918
NiHf,-8.152183,-0.576076
CoHf,-8.897247,-0.536494
FeHf,-9.455624,-0.446520
CuHf,-6.913589,-0.178131
MnHf,-9.605390,-0.307759
CrHf,-9.594300,0.037028
VHf,-9.282586,0.076099
ZnHf,-5.728208,-0.330271
MoHf,-10.449103,-0.087350
WHf,-11.297310,0.099362
AlHf,-7.050307,-0.339308
TiHf,-8.722173,-0.003594
TaHf,-10.716824,0.101787
NbHf,-9.951108,0.040092
HfHf,-9.775868,0.000000
ZrHf,-9.099352,0.000372
NiZr,-7.363719,-0.463756
CoZr,-8.076194,-0.391587
FeZr,-8.601822,-0.268862
CuZr,-6.229095,-0.169781
MnZr,-8.784765,-0.163277
CrZr,-8.817300,0.137884
VZr,-8.489673,0.192867
ZnZr,-5.095595,-0.373803
MoZr,-9.662849,0.022760
WZr,-10.511742,0.208786
AlZr,-6.426246,-0.391391
TiZr,-8.032780,0.009655
TaZr,-9.980182,0.162286
NbZr,-9.222138,0.092918
HfZr,-9.099352,0.000372
ZrZr,-8.423580,0.000000
ReRe,-12.107789,0.000000
ReNi,-8.613654,0.128413
NiRe,-8.613654,0.128413
ReCo,-9.345005,0.181708
CoRe,-9.345005,0.181708
ReFe,-10.175190,-0.000125
FeRe,-10.175190,-0.000125
ReCu,-7.479436,0.421983
CuRe,-7.479436,0.421983
ReMn,-10.586595,-0.123003
MnRe,-10.586595,-0.123003
ReCr,-10.910187,-0.112898
CrRe,-10.910187,-0.112898
ReV,-11.035194,-0.510548
VRe,-11.035194,-0.510548
ReZn,-6.160057,0.403840
ZnRe,-6.160057,0.403840
ReMo,-11.584669,-0.056956
MoRe,-11.584669,-0.056956
ReW,-12.630188,-0.067555
WRe,-12.630188,-0.067555
ReAl,-8.070654,-0.193694
AlRe,-8.070654,-0.193694
ReTi,-10.478405,-0.593866
TiRe,-10.478405,-0.593866
ReTa,-12.578557,-0.593984
TaRe,-12.578557,-0.593984
ReNb,-11.614907,-0.457747
NbRe,-11.614907,-0.457747
ReHf,-11.522028,-0.580200
HfRe,-11.522028,-0.580200
ReZr,-10.686658,-0.420974
ZrRe,-10.686658,-0.420974
