Compstr,pairID,Crystal,Etot,Eform,bcc2laves_Hmix_TC,Eform_VASP
WMo2,P98,Laves,-11.256122,0.381462,0.077739,0.381462
AlMo2,P108,Laves,-8.274505,0.239297,0.039699,0.239297
TiMo2,P118,Laves,-9.874327,-0.022138,-0.020801,-0.022138
TaMo2,P128,Laves,-11.211914,0.040297,0.074528,0.040297
NbMo2,P138,Laves,-10.617760,0.082843,0.051818,0.082843
HfMo2,P148,Laves,-10.790566,-0.233518,0.187091,-0.233518
ZrMo2,P158,Laves,-10.278467,-0.172182,-0.094697,-0.172182
AlW2,P109,Laves,-9.467016,0.426679,0.070416,0.426679
TiW2,P119,Laves,-11.218001,0.014080,0.082872,0.014080
TaW2,P129,Laves,-12.570917,0.061186,0.347848,0.061186
NbW2,P139,Laves,-11.988244,0.092251,0.002805,0.092251
HfW2,P149,Laves,-12.170789,-0.233849,-0.226430,-0.233849
ZrW2,P159,Laves,-11.664495,-0.178318,-0.142029,-0.178318
TiAl2,P1110,Laves,-5.402311,-0.417793,-0.040222,-0.417793
TaAl2,P1210,Laves,-6.617190,-0.232651,0.004863,-0.232651
NbAl2,P1310,Laves,-6.167467,-0.334535,-0.040977,-0.334535
HfAl2,P1410,Laves,-6.253492,-0.564115,-0.508895,-0.564115
ZrAl2,P1510,Laves,-5.873141,-0.634527,-0.627599,-0.634527
TaTi2,P1211,Laves,-8.932448,0.128864,0.029782,0.128864
NbTi2,P1311,Laves,-8.382855,0.126849,-0.015976,0.126849
HfTi2,P1411,Laves,-8.335690,0.030459,-0.012977,0.030459
ZrTi2,P1511,Laves,-7.868498,0.046889,-0.018186,0.046889
NbTa2,P1312,Laves,-11.169952,0.139796,0.051818,0.139796
HfTa2,P1412,Laves,-11.144948,0.021245,0.031770,0.021245
ZrTa2,P1512,Laves,-10.680692,0.034738,0.079486,0.034738
HfNb2,P1413,Laves,-10.074747,-0.011770,-0.013955,-0.011770
ZrNb2,P1513,Laves,-9.600860,0.011354,0.003613,0.011354
ZrHf2,P1514,Laves,-9.161262,0.163843,-0.036237,0.163843
NiNi2,P00,Laves,-5.227662,0.148683,0.008033,0.148683
NiCo2,P01,Laves,-6.297951,0.124588,-0.002274,0.124588
CoCo2,P11,Laves,-6.839402,0.106235,-0.010124,0.106235
NiFe2,P02,Laves,-7.147626,0.139382,0.004055,0.139382
CoFe2,P12,Laves,-7.636636,0.173469,0.018636,0.173469
FeFe2,P22,Laves,-8.091491,0.150849,0.008960,0.150849
NiCu2,P03,Laves,-4.088996,0.166485,0.015648,0.166485
CoCu2,P13,Laves,-4.490317,0.288260,0.067737,0.288260
FeCu2,P23,Laves,-4.927000,0.283812,0.065834,0.283812
CuCu2,P33,Laves,-3.567936,0.127113,-0.001193,0.127113
NiMn2,P04,Laves,-7.436628,0.235084,0.044991,0.235084
CoMn2,P14,Laves,-7.931174,0.263634,0.057203,0.263634
FeMn2,P24,Laves,-8.483882,0.143162,0.005671,0.143162
CuMn2,P34,Laves,-6.830136,0.281144,0.064693,0.281144
MnMn2,P44,Laves,-8.839439,-0.020044,-0.064139,-0.020044
NiCr2,P05,Laves,-7.912003,0.204638,0.031968,0.204638
CoCr2,P15,Laves,-8.419291,0.220446,0.038730,0.220446
FeCr2,P25,Laves,-8.804712,0.267260,0.058754,0.267260
CuCr2,P35,Laves,-7.143284,0.412924,0.121062,0.412924
MnCr2,P45,Laves,-9.057724,0.206600,0.032807,0.206600
CrCr2,P55,Laves,-9.216955,0.269833,0.059855,0.269833
NiV2,P06,Laves,-7.353697,0.399418,0.115285,0.399418
CoV2,P16,Laves,-8.120737,0.155475,0.010939,0.155475
FeV2,P26,Laves,-8.509281,0.199166,0.029627,0.199166
CuV2,P36,Laves,-6.902930,0.289753,0.068376,0.289753
MnV2,P46,Laves,-8.785841,0.114958,-0.006392,0.114958
CrV2,P56,Laves,-8.861889,0.261374,0.056236,0.261374
VV2,P66,Laves,-8.826035,0.115466,-0.006175,0.115466
NiZn2,P07,Laves,-2.491794,-0.019676,-0.063982,-0.019676
CoZn2,P17,Laves,-2.851689,0.143526,0.005827,0.143526
FeZn2,P27,Laves,-3.322710,0.104740,-0.010764,0.104740
CuZn2,P37,Laves,-1.893528,0.018158,-0.047799,0.018158
MnZn2,P47,Laves,-3.618141,0.001660,-0.054856,0.001660
CrZn2,P57,Laves,-3.667189,0.175076,0.019323,0.175076
VZn2,P67,Laves,-3.641630,0.018874,-0.047492,0.018874
ZnZn2,P77,Laves,-1.010115,0.009890,-0.051335,0.009890
NiMo2,P08,Laves,-8.593656,0.496884,0.156975,0.496884
CoMo2,P18,Laves,-9.023707,0.589931,0.196776,0.589931
FeMo2,P28,Laves,-9.367254,0.678618,0.234712,0.678618
CuMo2,P38,Laves,-7.906910,0.623198,0.211006,0.623198
MnMo2,P48,Laves,-9.856557,0.381667,0.107691,0.381667
CrMo2,P58,Laves,-9.931976,0.528712,0.170590,0.528712
VMo2,P68,Laves,-9.919599,0.359326,0.098135,0.359326
ZnMo2,P78,Laves,-7.130001,0.508425,0.161912,0.508425
MoMo2,P88,Laves,-10.583281,0.364356,0.100287,0.364356
NiW2,P09,Laves,-9.767163,0.703270,0.245256,0.703270
CoW2,P19,Laves,-10.223478,0.770052,0.273822,0.770052
FeW2,P29,Laves,-10.594447,0.831317,0.300028,0.831317
CuW2,P39,Laves,-9.069895,0.840105,0.303787,0.840105
MnW2,P49,Laves,-11.102391,0.515725,0.165034,0.515725
CrW2,P59,Laves,-11.213025,0.627556,0.212870,0.627556
VW2,P69,Laves,-11.235754,0.423064,0.125399,0.423064
ZnW2,P79,Laves,-8.295121,0.723198,0.253781,0.723198
MoW2,P89,Laves,-11.910537,0.416993,0.122802,0.416993
WW2,P99,Laves,-12.564601,0.452875,0.138151,0.452875
NiAl2,P010,Laves,-4.143194,0.079675,-0.021485,0.079675
CoAl2,P110,Laves,-4.571854,0.174113,0.018911,0.174113
FeAl2,P210,Laves,-4.962312,0.215889,0.036780,0.215889
CuAl2,P310,Laves,-3.425070,0.237367,0.045968,0.237367
MnAl2,P410,Laves,-5.111852,0.258700,0.055093,0.258700
CrAl2,P510,Laves,-5.439148,0.153869,0.010251,0.153869
VAl2,P610,Laves,-5.441735,-0.030481,-0.068604,-0.030481
ZnAl2,P710,Laves,-2.638334,0.132422,0.001077,0.132422
MoAl2,P810,Laves,-6.134454,-0.054487,-0.078872,-0.054487
WAl2,P910,Laves,-6.658689,0.111224,-0.007990,0.111224
AlAl2,P1010,Laves,-3.584516,0.061616,-0.029210,0.061616
NiTi2,P011,Laves,-6.721469,0.178173,0.020647,0.178173
CoTi2,P111,Laves,-7.115294,0.307445,0.075943,0.307445
FeTi2,P211,Laves,-7.375896,0.479078,0.149359,0.479078
