Composition,Crystal,Processing,Vicker,Tension0_Compression1,temperature,Yield_EXP,UTS_EXP,Elongation_EXP,Elongation_plastic_EXP,DOI,TITLE,YEAR,SOURCE,ReducedFormula,CONC0,CONC1,CONC2,CONC3,CONC4,CONC5,CONC6,CONC7,CONC8,CONC9,CONC10,CONC11,CONC12,CONC13,CONC14,Sconf,sws,Bulk,Eform,Eform_str,Eform_BOKAS,radius_TC,Hmix_TC,Gmix_TC,Hmix_str_TC,Gmix_str_TC,bcc2hcp_Gmix_TC,bcc2hcp_Gmix_TC2CPA,bcc2hcp,radius,amass,VEC,E_negativity,bcc2hcp_Gmix_TC_diff,volume,Tm_ROM,Exp_Bulk_ROM,Exp_Shear_ROM,Exp_Youngs_ROM,Exp_Poisson_ROM,Exp_Surf_ROM,Cal_Surf_ROM,E_GBR_ROM,DOS_EF_ROM,E_USF_ROM,Exp_Az_ROM,b2h_ROM,D_Surf_GBR_ROM,density,radius_TC_DELTA,volume_DELTA,Exp_Shear_ROM_DELTA,Exp_Youngs_ROM_DELTA,radius_TC_DISTORT,radius_TC_DISTORT_Max,volume_DISTORT,volume_DISTORT_Max,Exp_Shear_DISTORT,Exp_Shear_DISTORT_Max,Exp_Youngs_DISTORT,Exp_Youngs_DISTORT_Max,ShearBurger,ShearBurger_Surf,ShearBurger_D_Surf_GBR,Surf_USF,DOS_VEC,Exp_Poisson_Comp,ElasticEnergy,SH_ratio,temp_ratio,sigma_y0,delta_Eb0,Yield_MC
Al104Fe104Co104Cu104Ni83,MIX,CAST,4.11600000,1,298.15000000,1021.00000000,,12.30000000,,10.1016/j.jmst.2018.12.014,Composition and phase structure dependence of mechanical and magnetic properties for AlCoCuFeNihigh entropy alloys,2019,S5,Al104Fe104Co104Cu104Ni83,0.20800000,0.20800000,0.20800000,0.20800000,0.16600000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00013827,2.68824321,139.43308849,0.00702826,-0.00808626,-0.11133982,1.41937136,-0.04346659,-0.03278215,-0.05858111,-0.04789667,-0.03633736,-0.04574471,-0.11191152,1.42255714,52.55180059,6.24849699,1.82246493,-0.01778128,11.97779068,1510.81715431,147.90380762,60.99398798,162.48496994,0.32042084,2.05320240,2.14505411,0.96198998,2.36134381,0.37791182,1.82492456,-0.03059133,1.18306413,7.28551532,0.04292536,0.18325779,0.35421048,0.34695894,0.03097054,0.01030761,0.11632960,0.03873022,0.31499071,0.09509896,0.30974516,0.09423335,15.22719466,7.41631445,12.87097994,5.67607038,0.37790589,1.94299785,0.08508552,4.80589009,0.19734354,3050.27061285,2.18350014,2043.37647442
Al136Cr121(FeNi)121,BCC,CAST,,1,298.15000000,1044.00000000,,27.10000000,,10.1016/j.msea.2016.11.019,Effects of aluminum on microstructure and compressive properties of Al-Cr-Fe-Ni eutectic multi-component alloys,2017,S5,Al136Cr121(FeNi)121,0.27300000,0.24200000,0.24200000,0.24200000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00011931,2.71471262,171.94448439,-0.04912120,-0.02700569,-0.13046625,1.43220054,-0.17023247,-0.16800651,-0.14811696,-0.14589100,0.02641104,0.12827184,0.17173483,1.43656416,47.73579910,6.63727455,1.74821643,0.10186080,12.30552390,1641.14332665,144.86573146,73.28456914,186.39278557,0.29180361,2.03706814,2.35419840,1.24759719,1.72599607,0.74869539,1.47476230,0.08873643,1.10660120,6.44159599,0.04415884,0.19143142,0.44248647,0.41430784,0.03248965,0.01220584,0.12442578,0.04605568,0.39302498,0.14383825,0.37472092,0.13856368,18.46091426,9.06249228,16.68253587,3.14440081,0.26004591,1.82407538,0.10542787,1.15018498,0.18167213,3570.74529831,2.66041642,2537.49219469
Al151Cr116(FeNi)116,BCC,CAST,,1,298.15000000,1122.80000000,,24.70000000,,10.1016/j.msea.2016.11.019,Effects of aluminum on microstructure and compressive properties of Al-Cr-Fe-Ni eutectic multi-component alloys,2017,S5,Al151Cr116(FeNi)116,0.30300000,0.23200000,0.23200000,0.23200000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00011880,2.72612275,167.96992862,-0.04576640,-0.02555870,-0.13472857,1.43280691,-0.12489791,-0.11891067,-0.10469020,-0.09870296,-0.02536907,0.07119701,-0.00021217,1.44260214,46.87818503,6.48697395,1.74250501,0.09656608,12.32116046,1611.89442886,142.02004008,71.33066132,181.58316633,0.29420842,2.00082565,2.30646293,1.21406012,1.68574417,0.72395591,1.46010270,0.08240034,1.09240281,6.31783922,0.04597439,0.19972365,0.46425800,0.43550793,0.03370129,0.01326912,0.12872114,0.05006769,0.40599158,0.15636831,0.38772721,0.15063426,17.97631840,8.98445019,16.45576001,3.18591628,0.25986603,1.83369772,0.10686806,1.53324161,0.18496869,3703.60139786,2.67649024,2636.19929161
Al166Cr166(FeNi)333,BCC,CAST,,1,298.15000000,,,17.00000000,,10.1016/j.matlet.2016.01.096,A multi-component AlCrFe2Ni2 alloy with excellent mechanical properties,2016,S5,Al166Cr166(FeNi)333,0.16600000,0.16600000,0.33400000,0.33400000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00011450,2.67415322,180.81189805,-0.08595231,-0.05167869,-0.11212890,1.41866849,-0.12668481,-0.12353615,-0.09241119,-0.08926253,-0.01059589,0.06552209,0.04884535,1.41510104,51.35428378,7.50300601,1.79182365,0.07611798,11.96000535,1698.69551102,156.37074148,76.17234469,195.18737475,0.29334669,2.17611323,2.40271743,1.32788677,2.09083259,0.73972345,1.67528912,0.06530499,1.07483066,7.13008483,0.03802527,0.16644292,0.34254241,0.31856421,0.02689449,0.00827057,0.10532978,0.03370769,0.31246853,0.09093513,0.29731505,0.08797130,19.00706583,8.73441032,17.68377709,3.24812934,0.27866599,1.83024219,0.10242807,1.53532955,0.17551704,3093.86134122,2.45382883,2149.03441478
Al179Cr99Fe99(Co15Ni16)20,MIX,CAST,2.99292000,1,298.15000000,1129.40000000,,16.70000000,,10.1007/s00339-019-2506-z,Enhancing the mechanical properties of casting eutectic high entropy alloys with Mo addition,2019,S5,Al179Cr99Fe99(Co15Ni16)20,0.18000000,0.09900000,0.09900000,0.30100000,0.32100000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00012863,2.66057258,195.61620663,-0.04310072,-0.09502277,-0.11444767,1.40718640,-0.06738893,-0.06327215,-0.11931098,-0.11519420,-0.03753342,-0.01970355,-0.04060648,1.40791448,52.12418336,7.84653962,1.81434303,0.01782987,11.67195218,1650.48473420,158.54764293,71.49147442,188.30491474,0.30526580,2.20784654,2.41826078,1.02265196,2.68873105,0.44896790,1.59319968,-0.00980603,1.39560883,7.41558057,0.04309825,0.18542430,0.33777473,0.31656914,0.03022549,0.00941756,0.11443325,0.03532911,0.30699000,0.09380469,0.29804880,0.09249464,17.69468018,8.01445203,12.67882507,5.38626651,0.34266456,1.87879882,0.09248939,3.15045394,0.18064390,3472.60305813,2.45788752,2413.28087700
Al180Cr100Fe100Co300(Ni103Mo3)3,MIX,CAST,3.50154000,1,298.15000000,1159.70000000,,18.20000000,,10.1007/s00339-019-2506-z,Enhancing the mechanical properties of casting eutectic high entropy alloys with Mo addition,2019,S5,Al180Cr100Fe100Co300(Ni103Mo3)3,0.18000000,0.10000000,0.10000000,0.30100000,0.31000000,0.00900000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00013237,2.66786913,196.02964705,-0.02079456,-0.06371698,-0.08958826,1.41168513,-0.04821206,-0.04426542,-0.09113448,-0.08718784,-0.04301029,-0.01909298,-0.05085542,1.41177564,52.42531668,7.79959920,1.81606212,0.02182967,11.78425498,1660.83527054,159.26653307,71.94188377,189.43987976,0.30519038,2.21234469,2.42739479,1.03075651,2.65939579,0.45975451,1.57363311,-0.00464435,1.39663828,7.38734404,0.04339592,0.18432935,0.34414789,0.32318841,0.03097923,0.00939889,0.11622127,0.03523644,0.31038245,0.09460643,0.30133303,0.09328215,17.86308560,8.07427779,12.79005874,5.27976288,0.34096570,1.87848634,0.13557559,4.55979361,0.17951810,3466.22582186,2.48705429,2417.13214845
Al180Cr99Fe99Co300(Ni15Mo)20,MIX,CAST,3.55348000,1,298.15000000,1250.80000000,,14.70000000,,10.1007/s00339-019-2506-z,Enhancing the mechanical properties of casting eutectic high entropy alloys with Mo addition,2019,S5,Al180Cr99Fe99Co300(Ni15Mo)20,0.18000000,0.09900000,0.09900000,0.30100000,0.30100000,0.02000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00013508,2.67367732,196.65246477,-0.00384768,-0.05044187,-0.08783901,1.41334590,-0.03837305,-0.03346734,-0.08496724,-0.08006153,-0.05294367,-0.02540843,-0.08312999,1.41484921,52.84541518,7.76152305,1.81914830,0.02573254,11.82589449,1673.17294589,160.30861723,72.44789579,190.77154309,0.30531062,2.21922144,2.43764028,1.03899800,2.63560397,0.46940982,1.55737202,0.00030540,1.39864228,7.42032126,0.04429452,0.18587774,0.34996489,0.32952442,0.03180258,0.00933665,0.11812686,0.03498917,0.31325099,0.09502654,0.30420725,0.09370974,18.00989053,8.11540939,12.87669530,5.19298953,0.33957304,1.87898457,0.13698318,5.89007849,0.17819437,3531.00415898,2.52789952,2473.84766400
Al180Cr99Fe99Co300(Ni29Mo3)10,MIX,CAST,3.52506000,1,298.15000000,1198.30000000,,14.50000000,,10.1007/s00339-019-2506-z,Enhancing the mechanical properties of casting eutectic high entropy alloys with Mo addition,2019,S5,Al180Cr99Fe99Co300(Ni29Mo3)10,0.18000000,0.09900000,0.09900000,0.30100000,0.29100000,0.03000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00013722,2.67903597,197.23064193,0.01091961,-0.03927998,-0.08615351,1.41511398,-0.03930933,-0.03578455,-0.08950893,-0.08598415,-0.04789403,-0.01774899,-0.07017918,1.41768489,53.21862760,7.72144289,1.82165331,0.02970597,11.87033212,1684.87635271,161.23046092,72.94889780,192.06412826,0.30531062,2.22543387,2.44794088,1.04746493,2.61001078,0.47978056,1.53969527,0.00538857,1.40047595,7.44475130,0.04501922,0.18692173,0.35514487,0.33503929,0.03250905,0.00927643,0.11973193,0.03474468,0.31599965,0.09544354,0.30690029,0.09412600,18.15712101,8.15891286,12.96496451,5.10220939,0.33802112,1.87898457,0.13817532,5.88153768,0.17695661,3582.07273099,2.56450318,2519.85593797
Al181Fe181Co181Cu181Ni272,MIX,CAST,3.17324000,1,298.15000000,680.00000000,,35.90000000,,10.1016/j.jmst.2018.12.014,Composition and phase structure dependence of mechanical and magnetic properties for AlCoCuFeNihigh entropy alloys,2019,S5,Al181Fe181Co181Cu181Ni272,0.18200000,0.18200000,0.18200000,0.18200000,0.27300000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00013743,2.67481091,147.58118768,-0.00824013,-0.02141908,-0.11307333,1.41645458,-0.05347262,-0.04474173,-0.06665157,-0.05792068,-0.04052758,-0.04928627,-0.12188235,1.41544908,53.33829576,6.72891566,1.83367470,-0.01624560,11.90409995,1538.62965863,152.01405622,62.91566265,167.28915663,0.31908635,2.09505221,2.18103213,0.99182932,2.51248779,0.37945984,1.93271836,-0.03529226,1.18920281,7.44032600,0.04103053,0.17605576,0.33040771,0.32347756,0.02938691,0.00921896,0.11165197,0.03493551,0.30070584,0.08533152,0.29509416,0.08442452,15.67466472,7.48175375,13.18081708,5.74772849,0.37338673,1.93722998,0.08479421,3.95431175,0.19377632,2970.79267706,2.17508348,1987.60600347
Al196Cr196Fe196Co196Ni196Mo19,BCC,CAST,,1,298.15000000,1804.00000000,2280.00000000,10.21276596,9.00000000,10.1016/j.msea.2010.07.028,Microstructures and compressive properties of multicomponent AlCoCrFeNiMox alloys,2010,S5,Al196Cr196Fe196Co196Ni196Mo19,0.19600000,0.19600000,0.19600000,0.19600000,0.19600000,0.01900000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00014411,2.69219525,191.10337161,0.00043575,-0.01881860,-0.08211750,1.42520066,-0.03588417,-0.03176189,-0.05513851,-0.05101623,-0.04052038,0.03462270,-0.04923274,1.42464848,51.35426405,7.17717718,1.78526527,0.07691562,12.12597449,1707.11383383,155.85185185,75.96996997,196.37137137,0.29430430,2.17734935,2.48577177,1.17928729,2.14410214,0.65905005,1.39317759,0.06423798,1.30648448,7.03249211,0.04279964,0.17852245,0.38230005,0.35585351,0.03139139,0.00957928,0.11644234,0.03565291,0.34292013,0.10664236,0.32807871,0.10398613,19.04385218,8.74634664,14.57640898,3.77174961,0.29873892,1.83408275,0.12812217,6.85582671,0.17465150,3397.26394175,2.60355093,2399.94784271
Al227Cr257(FeNi)257,BCC,CAST,,1,298.15000000,770.00000000,,37.10000000,,10.1016/j.msea.2016.11.019,Effects of aluminum on microstructure and compressive properties of Al-Cr-Fe-Ni eutectic multi-component alloys,2017,S5,Al227Cr257(FeNi)257,0.22700000,0.25800000,0.25800000,0.25800000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00011937,2.69759744,177.90631805,-0.05415339,-0.02917617,-0.12081746,1.42932103,-0.15013494,-0.14792058,-0.12515772,-0.12294335,0.01394667,0.12374954,0.13034421,1.42750719,49.02222020,6.86272545,1.75678357,0.10980288,12.23145039,1685.01667335,149.13426854,76.21543086,193.60721443,0.28819639,2.09143186,2.42580160,1.29790281,1.78637393,0.78580461,1.49675170,0.09824057,1.12789880,6.65525059,0.04143433,0.17963811,0.40854543,0.38100881,0.03028637,0.01049745,0.11661442,0.03960947,0.36942483,0.12370584,0.35106178,0.11916953,19.16061857,9.16148353,16.98788810,3.08702898,0.26030095,1.80976379,0.10326759,1.33970897,0.17694187,3376.04642877,2.62220972,2389.66613556
Al286Cr237(FeNi)237,BCC,CAST,,1,298.15000000,906.80000000,,31.40000000,,10.1016/j.msea.2016.11.019,Effects of aluminum on microstructure and compressive properties of Al-Cr-Fe-Ni eutectic multi-component alloys,2017,S5,Al286Cr237(FeNi)237,0.28700000,0.23800000,0.23800000,0.23800000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00011919,2.72014645,170.05168692,-0.04752355,-0.02631659,-0.13269941,1.43248931,-0.14864285,-0.14462566,-0.12743590,-0.12341870,0.00175186,0.10109117,0.08984874,1.43943962,47.32737868,6.56569709,1.74549649,0.09933930,12.31296883,1627.21416249,143.51053159,72.35406219,184.10230692,0.29294885,2.01980843,2.33146540,1.23162588,1.70682696,0.73691374,1.46778098,0.08571900,1.09983952,6.38262112,0.04503923,0.19544812,0.45293383,0.42449626,0.03309122,0.01271992,0.12655898,0.04799543,0.39946666,0.14989636,0.38118050,0.14439963,18.23018779,9.02570143,16.57531620,3.16382402,0.25996127,1.82864965,0.10611373,1.30483468,0.18322726,3636.50273581,2.66931609,2586.56186646
Al2Fe2Co2Cu2Ni,MIX,CAST,4.22282000,1,298.15000000,929.00000000,,13.70000000,,10.1016/j.jmst.2018.12.014,Composition and phase structure dependence of mechanical and magnetic properties for AlCoCuFeNihigh entropy alloys,2019,S5,Al2Fe2Co2Cu2Ni,0.22200000,0.22200000,0.22200000,0.22200000,0.11100000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00013620,2.69515674,135.11137213,0.01438488,-0.00173081,-0.10478599,1.42143594,-0.02268945,-0.01164546,-0.03880515,-0.02776116,-0.04488642,-0.05462929,-0.14201199,1.42621563,52.14498524,6.00000000,1.81666667,-0.01857561,12.03013457,1496.43111111,145.77777778,60.00000000,160.00000000,0.32111111,2.03155556,2.12644444,0.94655556,2.28316444,0.37711111,1.76916811,-0.02815978,1.17988889,7.19766215,0.04368707,0.18592526,0.36582395,0.35845444,0.03167766,0.01084115,0.11822980,0.04053910,0.32106254,0.09983914,0.31608305,0.09901640,15.00083299,7.38391473,12.71376748,5.63877431,0.38052741,1.94599018,0.08523619,8.98262711,0.19924071,3065.21986763,2.18042289,2052.43920096
Al333Cr166Fe166(CoNi)166,BCC,CAST,5.70066000,1,298.15000000,1241.00000000,,9.98000000,,10.1016/j.jallcom.2019.07.100,Effects of Ti-to-Al ratios on the phases  microstructures  mechanical properties  and corrosion resistance of Al2-xCoCrFeNiTix high-entropy alloys,2019,S5,Al333Cr166Fe166(CoNi)166,0.33400000,0.16600000,0.16600000,0.16600000,0.16600000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00013431,2.73065928,170.65013239,-0.02629934,-0.04638013,-0.12479379,1.42704109,-0.08274436,-0.07216680,-0.10282515,-0.09224759,-0.02543083,0.02913520,-0.00041725,1.44500277,46.55214616,6.49648947,1.74985958,0.05456603,12.17301192,1558.31249749,140.60180542,66.79237713,173.06318957,0.30338014,1.99366299,2.25460682,1.04089268,1.92957426,0.56142026,1.35533888,0.03659290,1.21371414,6.35025338,0.05063772,0.21785574,0.47568407,0.44727425,0.03660943,0.01502267,0.13696967,0.05589464,0.40570301,0.16426829,0.39202392,0.16010679,16.76487088,8.40907966,13.81286606,4.01589857,0.29701799,1.87100629,0.09983317,2.52953115,0.19132876,3999.97768223,2.65921889,2842.17175436
Al7Cr10Fe10Co3Ni10,MIX,POWDER,6.11520000,1,298.15000000,2033.00000000,2635.00000000,8.00000000,,10.1016/j.matdes.2013.04.061,Alloying behavior  microstructure and mechanical properties in a FeNiCrCo0.3Al0.7 high entropy alloy,2013,S5,Al7Cr10Fe10Co3Ni10,0.17500000,0.25000000,0.25000000,0.07500000,0.25000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00013262,2.67792592,187.91917717,-0.04603776,-0.03531656,-0.09336700,1.41903351,-0.01486016,-0.00786831,-0.00413895,0.00285290,-0.08346711,0.01914711,-0.19313921,1.41709747,50.77538388,7.20000000,1.77275000,0.10261423,11.96923958,1725.68100000,154.80000000,78.50000000,200.42500000,0.28700000,2.16850000,2.50820000,1.29420000,1.98538500,0.76740000,1.48203873,0.09164403,1.21400000,7.04427090,0.03905671,0.16957082,0.36489645,0.33669726,0.02770788,0.00849921,0.10654234,0.03189777,0.33166294,0.09743134,0.31400843,0.09424825,19.59291888,9.03524043,16.13914240,3.26843888,0.27574792,1.80504909,0.08690788,15.40109240,0.17277237,3208.69290134,2.53880456,2250.78689062
Al84Cr84Fe84Cu84Ni163,MIX,CAST,,1,298.15000000,,,30.00000000,,10.1016/j.msea.2015.09.089,Strain rate effects on the dynamic mechanical properties of the AlCrCuFeNi2 high-entropy alloy,2016,S5,Al84Cr84Fe84Cu84Ni163,0.16800000,0.16800000,0.16800000,0.16800000,0.32700000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00013479,2.68585552,150.02025004,0.06394453,0.07583568,-0.05311042,1.42262955,-0.09004891,-0.09110554,-0.07815776,-0.07921439,0.04736218,0.10012090,0.14079056,1.42129364,52.56510990,6.46492986,1.80226453,0.06611415,12.06046598,1621.93779559,151.04609218,70.44488978,181.48296593,0.30158317,2.07396393,2.32196794,1.18489980,2.07534381,0.61540281,1.92761732,0.04806466,1.13706814,7.23740511,0.03763883,0.16408508,0.39748868,0.36541191,0.02697025,0.00818303,0.10556692,0.03323002,0.33476088,0.08719113,0.31647984,0.08333325,17.62698981,8.49917859,15.50214033,3.77308637,0.32101567,1.86361941,0.08117222,2.42788596,0.18382333,2875.78386907,2.29419729,1957.27505682
AlCrCoNi,BCC,CAST,11.59340000,1,298.15000000,1750.00000000,,16.70000000,,10.1016/j.jallcom.2018.11.057,Chemical evolution-induced strengthening on AlCoCrNi dual-phase high-entropy alloy with high specific strength,2019,S5,AlCrCoNi,0.25000000,0.25000000,0.25000000,0.25000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00011946,2.68411737,191.82006412,0.00638605,-0.04584388,-0.13642882,1.41979770,-0.02786021,-0.02349941,-0.08009013,-0.07572934,-0.06805767,0.01051053,-0.14196884,1.42037384,49.15105840,7.00000000,1.76500000,0.07856820,11.98858733,1652.33000000,149.50000000,73.25000000,189.50000000,0.29500000,2.09750000,2.47625000,1.03325000,2.21550000,0.56025000,1.39398775,0.04972825,1.44300000,6.80791707,0.04699101,0.20139915,0.43121081,0.39824211,0.03409752,0.01222786,0.12814833,0.04534927,0.37880450,0.13184334,0.36303974,0.12878221,18.29241011,8.72105369,12.67665289,4.41990183,0.31650000,1.83687943,0.11569424,7.08501429,0.18044216,3854.75685528,2.69236618,2748.16238046
AlCrFeCoCuNi,MIX,CAST,,1,298.15000000,1303.00000000,,24.00000000,,10.1016/j.msea.2008.08.025,Effects of Mn  Ti and V on the microstructure and properties of AlCrFeCoNiCu high entropy alloy,2008,S5,AlCrFeCoCuNi,0.16700000,0.16700000,0.16700000,0.16700000,0.16700000,0.16700000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00015454,2.68162961,158.11869759,0.08098019,0.06731926,-0.04729923,1.42116372,-0.01740920,-0.01507370,-0.03107013,-0.02873463,0.00457421,0.05179481,-0.00475517,1.41905738,52.66587227,6.33333333,1.79833333,0.05483692,12.02322417,1629.65666667,151.33333333,70.50000000,183.16666667,0.30166667,2.10533333,2.38116667,1.10616667,2.13427333,0.57350000,1.66890850,0.04327183,1.27500000,7.27373929,0.03834181,0.16363180,0.39528007,0.36312117,0.02754257,0.00824381,0.10408151,0.03074735,0.33321909,0.08510972,0.31714191,0.08316648,17.62260318,8.37045750,13.82164955,4.15199070,0.33699053,1.86396181,0.07160641,14.46614911,0.18295265,2868.14029748,2.28496475,1949.60683892
AlCrFeCoNi,BCC,CAST,,1,298.15000000,1251.00000000,2004.00000000,19.61618789,33.00000000,10.1016/j.msea.2008.01.064,Microstructure and compressive properties of AlCrFeCoNi high entropy alloy,2008,S5,AlCrFeCoNi,0.20000000,0.20000000,0.20000000,0.20000000,0.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00013869,2.68073336,189.74243711,-0.03471471,-0.05520610,-0.10824793,1.42103148,-0.06341288,-0.05990963,-0.08390428,-0.08040103,-0.03043777,0.04039313,-0.01704386,1.41858311,50.48984672,7.20000000,1.77800000,0.07083090,12.01986816,1684.06400000,153.60000000,75.00000000,193.80000000,0.29400000,2.16140000,2.46700000,1.16260000,2.16652800,0.64420000,1.40269020,0.05695280,1.30440000,6.97515306,0.04193469,0.17919080,0.37956700,0.35111083,0.03037748,0.00985909,0.11454227,0.03668256,0.34189081,0.10780607,0.32672855,0.10507495,18.74570572,8.67294611,14.37113288,3.82955604,0.30090667,1.83286119,0.08988332,3.68322424,0.17704197,3367.64756917,2.55303906,2366.02849134
AlCrFeCuNi,MIX,POWDER,,1,293.15000000,1511.00000000,,5.00000000,,10.1016/j.jallcom.2019.01.341,Structure formation and mechanical properties of the high-entropy AlCuNiFeCr alloy prepared by mechanical alloying and spark plasma sintering,2019,S5,AlCrFeCuNi,0.20000000,0.20000000,0.20000000,0.20000000,0.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00013869,2.70398476,139.94032098,0.08980402,0.10393184,-0.04758414,1.42998586,-0.09442967,-0.09478666,-0.08030185,-0.08065884,0.06725805,0.13075715,0.19604430,1.43088722,51.41240772,5.80000000,1.78200000,0.07963887,12.24852618,1601.98800000,145.60000000,69.40000000,178.00000000,0.30000000,2.01640000,2.30240000,1.18300000,1.79954800,0.65780000,1.78860560,0.06976420,1.11940000,6.97001162,0.03882635,0.16762860,0.43815409,0.40310310,0.02829126,0.00929539,0.10877683,0.03507329,0.36162593,0.10041959,0.34142434,0.09715379,17.45532927,8.65667986,15.59346907,3.50015202,0.31026690,1.85714286,0.07936050,2.35286969,0.18299138,2901.49861105,2.32294303,1992.74187563
AlCrFeNi,BCC,CAST,,1,298.15000000,843.20000000,,34.60000000,,10.1016/j.msea.2016.11.019,Effects of aluminum on microstructure and compressive properties of Al-Cr-Fe-Ni eutectic multi-component alloys,2017,S5,AlCrFeNi,0.25000000,0.25000000,0.25000000,0.25000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00011946,2.70615503,174.92540122,-0.05163729,-0.02809093,-0.12615752,1.43174576,-0.20423340,-0.20482839,-0.18068703,-0.18128202,0.06524612,0.17107796,0.30069508,1.43203567,48.37900965,6.75000000,1.75250000,0.10583184,12.29380517,1663.08000000,147.00000000,74.75000000,190.00000000,0.29000000,2.06425000,2.39000000,1.27275000,1.75618500,0.76725000,1.48575700,0.09348850,1.11725000,6.53461554,0.04270975,0.18483569,0.42572243,0.39789961,0.03144829,0.01136834,0.12073272,0.04289557,0.38186793,0.13396878,0.36353642,0.12905613,18.82408763,9.11909296,16.84859041,3.11502118,0.26017556,1.81690141,0.10434773,0.97278010,0.17927580,3457.58164525,2.64144731,2452.29001260
AlFeCoCuNi,MIX,CAST,3.83572000,1,298.15000000,994.00000000,,24.50000000,,10.1016/j.jmst.2018.12.014,Composition and phase structure dependence of mechanical and magnetic properties for AlCoCuFeNihigh entropy alloys,2019,S5,AlFeCoCuNi,0.20000000,0.20000000,0.20000000,0.20000000,0.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00013869,2.68403855,141.95992096,0.00234117,-0.01216295,-0.11309552,1.41968469,-0.05287622,-0.04248094,-0.06738034,-0.05698506,-0.03330227,-0.04250507,-0.10064579,1.42033214,52.79982672,6.40000000,1.82600000,-0.01729699,11.98572481,1519.58800000,149.20000000,61.60000000,164.00000000,0.32000000,2.06640000,2.15640000,0.97140000,2.40900800,0.37840000,1.85891800,-0.03207380,1.18500000,7.31505488,0.04218783,0.18010030,0.34690157,0.33973868,0.03050274,0.00997233,0.11500044,0.03757521,0.31085687,0.09210344,0.30547460,0.09121901,15.38188086,7.44380607,12.98049018,5.69873150,0.37640750,1.94117647,0.08499365,3.98577296,0.19620450,3006.24911895,2.17987177,2012.78559314
