Composition,Crystal,Processing,Vicker,Tension0_Compression1,temperature,Yield_EXP,UTS_EXP,Elongation_EXP,Elongation_plastic_EXP,DOI,TITLE,YEAR,SOURCE,ReducedFormula,CONC0,CONC1,CONC2,CONC3,CONC4,CONC5,CONC6,CONC7,CONC8,CONC9,CONC10,CONC11,CONC12,CONC13,CONC14,Sconf,sws,Bulk,Eform,Eform_str,Eform_BOKAS,radius_TC,Hmix_TC,Gmix_TC,Hmix_str_TC,Gmix_str_TC,bcc2hcp_Gmix_TC,bcc2hcp_Gmix_TC2CPA,bcc2hcp,radius,amass,VEC,E_negativity,bcc2hcp_Gmix_TC_diff,volume,Tm_ROM,Exp_Bulk_ROM,Exp_Shear_ROM,Exp_Youngs_ROM,Exp_Poisson_ROM,Exp_Surf_ROM,Cal_Surf_ROM,E_GBR_ROM,DOS_EF_ROM,E_USF_ROM,Exp_Az_ROM,b2h_ROM,D_Surf_GBR_ROM,density,radius_TC_DELTA,volume_DELTA,Exp_Shear_ROM_DELTA,Exp_Youngs_ROM_DELTA,radius_TC_DISTORT,radius_TC_DISTORT_Max,volume_DISTORT,volume_DISTORT_Max,Exp_Shear_DISTORT,Exp_Shear_DISTORT_Max,Exp_Youngs_DISTORT,Exp_Youngs_DISTORT_Max,ShearBurger,ShearBurger_Surf,ShearBurger_D_Surf_GBR,Surf_USF,DOS_VEC,Exp_Poisson_Comp,ElasticEnergy,SH_ratio,temp_ratio,sigma_y0,delta_Eb0,Yield_MC
Zr53Ta37Ti53(NbMo)53,BCC,high-vacuum non-self-consumption electric arc furnace,,1,298.15000000,1349.00000000,2242.00000000,34.80000000,,https://doi.org/10.1016/j.jallcom.2023.170739,Microstructure and mechanical properties of Alx(TiZrTa0.7NbMo) refractory high-entropy alloys,2023,S9,Zr53Ta37Ti53(NbMo)53,0.21300000,0.14900000,0.21300000,0.21300000,0.21300000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00013799,3.09793887,166.33497972,0.09024071,0.05940783,-0.02928909,1.63034256,0.00516974,-0.03112600,-0.02566313,-0.06195888,0.05506298,0.20915357,0.24561378,1.63935877,96.68976988,4.78714859,1.63409639,0.15409059,18.15203010,2556.72690763,165.94377510,61.25301205,158.96787149,0.34212851,2.54443775,2.74982329,1.06344177,3.22582410,0.69194378,0.95989657,0.16377510,1.68638153,8.84514012,0.04620380,0.14564487,0.57617805,0.59927603,0.03417021,0.01088260,0.10123419,0.03228794,0.34939530,0.10642115,0.38542259,0.10975859,17.56479751,6.90321369,10.41567239,3.97405597,0.67385084,2.04010744,0.10983569,68.24152216,0.11661394,2406.56022612,2.94544624,1755.86604031
Zr53Ti53Nb53V53Mo37,BCC,arc melting,,1,298.15000000,1706.00000000,,32.00000000,,https://doi.org/10.1016/j.matdes.2015.06.072,Phase composition and solid solution strengthening effect in TiZrNbMoV high-entropy alloys,2015,S9,Zr53Ti53Nb53V53Mo37,0.21300000,0.21300000,0.21300000,0.21300000,0.14900000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00013799,3.05798691,160.00697496,0.17893457,0.14810169,0.00603837,1.61208784,0.01962231,-0.01845637,-0.01121056,-0.04928925,0.03489247,0.18807444,0.21213155,1.61821710,74.48008289,4.72289157,1.61935743,0.15318197,17.54909452,2346.41767068,152.80321285,53.20481928,137.43373494,0.35044177,2.44169076,2.71412851,0.99255823,3.62705542,0.64426104,0.83551882,0.14839357,1.72157028,7.04749590,0.05963678,0.18346548,0.57923449,0.60219947,0.04520632,0.01334296,0.13257638,0.03915321,0.28795291,0.07982418,0.32515695,0.08186404,15.08608349,6.17853977,8.76297858,4.21277763,0.76797347,2.07901570,0.16138082,16.50016397,0.12706604,2916.34446026,2.92155061,2123.51921976
Zr69Ta232Nb232(MoW)232,BCC,vacuum arc melting,5.07640000,1,298.15000000,1448.00000000,1819.00000000,9.90000000,,https://doi.org/10.1016/j.msea.2022.142701,"Microstructure and mechanical properties of WNbMoTaZrx (x = 0.1, 0.3, 0.5, 1.0) refractory high entropy alloys",2022,S9,Zr69Ta232Nb232(MoW)232,0.06900000,0.23300000,0.23300000,0.23300000,0.23300000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00013289,3.04063416,223.92347097,-0.00038356,-0.00451873,-0.03475721,1.59716386,-0.06113444,-0.08745204,-0.06526961,-0.09158721,0.14201341,0.43408699,0.47516569,1.60903442,135.14303342,5.39618857,1.86520562,0.29207358,17.06620779,3086.48345035,227.82647944,93.50150451,244.54864594,0.33301906,3.04248746,3.22422768,1.73904313,1.98706700,1.09027282,0.99242121,0.36212638,1.48518455,13.14940276,0.03627759,0.11465332,0.52824235,0.51102505,0.02626644,0.00628608,0.07682695,0.01844289,0.41652145,0.10919683,0.41464296,0.10641180,26.26666321,8.63328560,17.68579073,2.95726687,0.36823528,1.99858642,0.12546099,6.70926874,0.09659861,2597.98335574,3.55490759,1978.30678135
Zr71Ti71Nb71V214Mo71,BCC,CAST,,1,298.15000000,1418.00000000,2508.00000000,24.00000000,,10.1007/s11837-012-0366-5,Alloy Design and Properties Optimization of High-Entropy Alloys,2012,S5,Zr71Ti71Nb71V214Mo71,0.14300000,0.14300000,0.14300000,0.43000000,0.14300000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00012714,2.98732581,172.01468385,0.18894136,0.16828915,0.00942040,1.57586560,0.01204754,-0.02187587,-0.00860467,-0.04252808,0.03968190,0.23059299,0.25095387,1.58082485,68.64464855,4.85742972,1.64568273,0.19091108,16.39253550,2323.14658635,160.00000000,54.55622490,142.96987952,0.35431727,2.51749598,2.83610040,1.13453614,3.74831606,0.69760241,0.82504246,0.19586345,1.70156426,6.95360388,0.06138948,0.19339337,0.54172281,0.54907064,0.04590229,0.01954833,0.13402826,0.05685705,0.27243102,0.09153286,0.30049647,0.10055557,15.12168959,6.00663901,8.88693420,4.06549685,0.77166656,2.09749650,0.17855739,24.51657355,0.12833887,3246.18364813,2.91553753,2362.47673336
Zr8Ta81Nb81(MoW)81,BCC,vacuum arc melting,5.05680000,1,298.15000000,1223.00000000,1421.00000000,6.40000000,,https://doi.org/10.1016/j.msea.2022.142701,"Microstructure and mechanical properties of WNbMoTaZrx (x = 0.1, 0.3, 0.5, 1.0) refractory high entropy alloys",2022,S9,Zr8Ta81Nb81(MoW)81,0.02400000,0.24400000,0.24400000,0.24400000,0.24400000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00012635,3.03045777,230.18333933,-0.01629023,-0.01772999,-0.03503547,1.59051040,-0.06072718,-0.07946025,-0.06216695,-0.08090002,0.23639792,0.45708754,0.48233490,1.60364931,137.27158753,5.46385542,1.89114458,0.30663986,16.85381204,3132.93674699,234.45783133,96.43373494,253.15361446,0.33268072,3.09301205,3.27818072,1.80810843,1.85941235,1.13099699,1.00086579,0.38355422,1.47007229,13.52483277,0.02849135,0.08764206,0.50501592,0.48011543,0.02120765,0.00541072,0.06168135,0.01585039,0.40495727,0.11715340,0.39162225,0.11345805,26.97753926,8.72209317,18.35116508,2.89848758,0.34031141,1.99706613,0.12089262,6.51850658,0.09516630,1870.85736686,3.02549740,1373.97100063
Zr8TaTi6Nb3Al2,MIX,vacuum induction melting,,1,298.15000000,1075.00000000,,55.00000000,,https://doi.org/10.1016/j.mtla.2019.100569,Phase stability and microstructure evolution in a ductile refractory high entropy alloy Al10Nb15Ta5Ti30Zr40,2020,S9,Zr8TaTi6Nb3Al2,0.40000000,0.05000000,0.30000000,0.15000000,0.10000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00011998,3.16954643,115.23756138,0.06142938,0.01199745,-0.07371939,1.67033527,-0.02819567,-0.05107780,-0.07762760,-0.10050972,-0.01983373,0.00910118,-0.00972192,1.67725186,76.53120486,4.10000000,1.47000000,0.02893491,19.52088790,2103.83200000,111.60000000,38.05000000,93.65000000,0.34400000,2.10175000,2.27605000,0.53820000,3.93269000,0.37090000,0.94324745,-0.00845970,1.73785000,6.51011075,0.04996941,0.14491023,0.23098701,0.32662070,0.03898667,0.01726468,0.10909220,0.04880285,0.15541820,0.05334729,0.22569443,0.08993220,11.17879899,5.31880528,6.43254538,6.13655972,0.95919268,2.04878049,0.08833738,8.95242882,0.14171759,1493.31793050,1.96660366,964.76480801
Zr95Ti95Nb95Al119Cr95,MIX,arc melting,,1,298.15000000,450.00000000,,4.90000000,,https://doi.org/10.1016/j.matlet.2020.127869,Microstructure evolution and mechanical properties of a novel CrNbTiZrAlx (0.25 ≤ x ≤ 1.25) eutectic refractory high-entropy alloy,2020,S9,Zr95Ti95Nb95Al119Cr95,0.19000000,0.19000000,0.19000000,0.23800000,0.19000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00013820,3.03289128,136.40501468,0.11720019,0.08790057,-0.07237625,1.59269706,-0.10047390,-0.11736931,-0.12977352,-0.14666893,0.01207388,0.12259106,0.13550571,1.60493706,60.50137013,4.33266533,1.55098196,0.11051718,16.92342036,1935.81178357,119.02605210,49.98797595,124.63927856,0.32525050,2.00053106,2.34528257,0.80629058,2.59078778,0.58178357,0.88110375,0.08740072,1.53899198,5.93644518,0.07049448,0.20491342,0.64234132,0.61982930,0.05391988,0.01418619,0.14813941,0.04056465,0.34773291,0.10484627,0.35235832,0.10238215,14.00346670,6.99987467,9.09911608,4.03119424,0.59796628,1.96406296,0.21295095,2.66276717,0.15401807,2943.32552490,2.74349310,2108.90821017
Zr96Ti192Nb96Al48W67,MIX,vacuum arc melting,,1,298.15000000,980.00000000,,68.00000000,,https://doi.org/10.1016/j.matdes.2022.111034,A superb mechanical behavior of newly developed lightweight and ductile Al0.5Ti2Nb1Zr1Wx refractory high entropy alloy via nano-precipitates and dislocations induced-deformation,2022,S9,Zr96Ti192Nb96Al48W67,0.19200000,0.38500000,0.19200000,0.09600000,0.13400000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00012887,3.09083117,142.56186022,0.06876244,0.02452118,-0.07341678,1.63043899,-0.04209691,-0.06290059,-0.08633818,-0.10714186,0.01788755,0.10371032,0.12824696,1.63559753,81.12099065,4.36472946,1.62797595,0.08582277,18.15525122,2271.19110220,140.31663327,54.70741483,139.64128257,0.33675351,2.30858717,2.54383768,0.82986373,3.42186713,0.58397996,0.94466475,0.07013897,1.71397395,7.41959802,0.04473037,0.13528074,0.77221697,0.77838544,0.03307417,0.01008627,0.09239257,0.02890609,0.33241845,0.10156458,0.35386626,0.10797852,15.68872236,6.79581111,9.15341938,4.35603591,0.78398150,2.01547015,0.09154063,6.95276727,0.13127473,1916.61252991,2.48459912,1336.14531246
Zr99Ta99Ti300(Nb3Al2)100,BCC,OTHER,3.99840000,1,298.15000000,1280.00000000,1367.00000000,4.00000000,,10.1007/s11837-014-1066-0,Microstructure and Properties of Aluminum-Containing Refractory High-Entropy Alloys,2014,S5,Zr99Ta99Ti300(Nb3Al2)100,0.09900000,0.09900000,0.30100000,0.30100000,0.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00012948,3.08525542,130.66551407,0.02027028,-0.01123984,-0.10953952,1.61775363,-0.09984547,-0.11310137,-0.13135559,-0.14461149,0.00159981,0.07675449,0.04656918,1.63264697,74.72278341,4.19939880,1.54726453,0.07515468,17.73477821,2134.61523046,127.36372745,39.77955912,105.55811623,0.35402806,2.17269539,2.31904309,0.74677956,3.12035972,0.44822044,0.96949128,0.06899860,1.57226353,6.99643290,0.03620619,0.10272545,0.27813989,0.31069976,0.02599531,0.00665148,0.06408255,0.01549688,0.19316360,0.05097426,0.21678349,0.05394248,11.31902927,5.20967151,7.19919344,5.17388962,0.74304915,2.09610970,0.05644004,2.76822277,0.13967388,1017.31254835,1.50781046,587.47518887
ZrTa2Nb2(MoW)2,BCC,vacuum arc melting,5.35080000,1,298.15000000,1575.00000000,2107.00000000,12.60000000,,https://doi.org/10.1016/j.msea.2022.142701,"Microstructure and mechanical properties of WNbMoTaZrx (x = 0.1, 0.3, 0.5, 1.0) refractory high entropy alloys",2022,S9,ZrTa2Nb2(MoW)2,0.11100000,0.22200000,0.22200000,0.22200000,0.22200000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00013620,3.05170957,218.10872644,0.02098727,0.01434836,-0.02430798,1.60434190,-0.04286098,-0.07121902,-0.04949990,-0.07785794,0.12528132,0.40382439,0.45248695,1.61489527,133.16583556,5.33333333,1.84111111,0.27854307,17.29734267,3043.33333333,221.66666667,90.77777778,236.55555556,0.33333333,2.99555556,3.17411111,1.67488889,2.10564444,1.05244444,0.98457711,0.34222222,1.49922222,12.78388406,0.04153247,0.13182141,0.54936848,0.53921006,0.03016296,0.00685206,0.08846902,0.02011816,0.42526906,0.10438625,0.43285229,0.10307471,25.61611752,8.55137454,17.08627123,3.01594172,0.39480833,2.00000000,0.12970453,9.67070422,0.09796824,3040.92577355,3.84092545,2352.06811232
