Composition,Crystal,Processing,GrainSize,Vicker,Tension0_Compression1,temperature,Yield_EXP,UTS_EXP,Elongation_EXP,Elongation_plastic_EXP,Youngs_EXP,Youngs_ROM_ORG,DOI,YEAR,TITLE,SOURCE,ReducedFormula,radius,radius_TC,Tm_ROM,volume,LattPara,CONC0,CONC1,CONC2,CONC3,CONC4,CONC5,CONC6,CONC7,CONC8,CONC9,CONC10,CONC11,CONC12,CONC13,CONC14,Sconf,sws,Bulk,Eform,Eform_str,Eform_BOKAS,Hmix_TC,Gmix_TC,Hmix_str_TC,Gmix_str_TC,bcc2hcp_Gmix_TC,bcc2hcp_Gmix_TC2CPA,bcc2hcp,amass,VEC,E_negativity,bcc2hcp_Gmix_TC_diff,Exp_Bulk_ROM,Exp_Shear_ROM,Exp_Youngs_ROM,Exp_Poisson_ROM,Exp_Surf_ROM,Cal_Surf_ROM,E_GBR_ROM,DOS_EF_ROM,E_USF_ROM,Exp_Az_ROM,b2h_ROM,D_Surf_GBR_ROM,density,radius_TC_DELTA,volume_DELTA,Exp_Shear_ROM_DELTA,Exp_Youngs_ROM_DELTA,radius_TC_DISTORT,radius_TC_DISTORT_Max,volume_DISTORT,volume_DISTORT_Max,Exp_Shear_DISTORT,Exp_Shear_DISTORT_Max,Exp_Youngs_DISTORT,Exp_Youngs_DISTORT_Max,ShearBurger,ShearBurger_Surf,ShearBurger_D_Surf_GBR,Surf_USF,DOS_VEC,Exp_Poisson_Comp,ElasticEnergy,SH_ratio,temp_ratio,sigma_y0,delta_Eb0,Yield_MC
AlCrFeCoCuNi,FCC+BCC,CAST,,,1,973.15000000,307.00000000,,,,,,10.1007/s11661-005-0218-9,2005,Mechanical performance of the Al x CoCrCuFeNi high-entropy alloy system with multiprincipal elements,S4,AlCrFeCoCuNi,1.43323246,1.42116372,1629.65666667,12.17845264,2.89872736,0.16700000,0.16700000,0.16700000,0.16700000,0.16700000,0.16700000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00015454,2.68162961,158.11869759,0.08098019,0.06731926,-0.04729923,-0.01740920,-0.01507370,-0.03107013,-0.02873463,0.00457421,0.05179481,-0.00475517,52.66587227,6.33333333,1.79833333,0.05483692,151.33333333,70.50000000,183.16666667,0.30166667,2.10533333,2.38116667,1.10616667,2.13427333,0.57350000,1.66890850,0.04327183,1.27500000,7.18102707,0.03834181,0.15945896,0.39528007,0.36312117,0.02754257,0.00824381,0.10408151,0.03074735,0.33321909,0.08510972,0.31714191,0.08316648,17.69811928,8.40632645,13.88087787,4.15199070,0.33699053,1.86396181,0.07160641,14.46614911,0.59715032,2771.03515953,2.27494810,940.77741908
AlCrFeCoCuNi,FCC+BCC,CAST,,,1,1073.15000000,172.00000000,,,,,,10.1007/s11661-005-0218-9,2005,Mechanical performance of the Al x CoCrCuFeNi high-entropy alloy system with multiprincipal elements,S4,AlCrFeCoCuNi,1.43323246,1.42116372,1629.65666667,12.17845264,2.89872736,0.16700000,0.16700000,0.16700000,0.16700000,0.16700000,0.16700000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00015454,2.68162961,158.11869759,0.08098019,0.06731926,-0.04729923,-0.01740920,-0.01507370,-0.03107013,-0.02873463,0.00457421,0.05179481,-0.00475517,52.66587227,6.33333333,1.79833333,0.05483692,151.33333333,70.50000000,183.16666667,0.30166667,2.10533333,2.38116667,1.10616667,2.13427333,0.57350000,1.66890850,0.04327183,1.27500000,7.18102707,0.03834181,0.15945896,0.39528007,0.36312117,0.02754257,0.00824381,0.10408151,0.03074735,0.33321909,0.08510972,0.31714191,0.08316648,17.69811928,8.40632645,13.88087787,4.15199070,0.33699053,1.86396181,0.07160641,14.46614911,0.65851294,2771.03515953,2.27494810,841.93183707
AlCrFeCoCuNi,FCC+BCC,CAST,,,1,1173.15000000,98.00000000,,,,,,10.1007/s11661-005-0218-9,2005,Mechanical performance of the Al x CoCrCuFeNi high-entropy alloy system with multiprincipal elements,S4,AlCrFeCoCuNi,1.43323246,1.42116372,1629.65666667,12.17845264,2.89872736,0.16700000,0.16700000,0.16700000,0.16700000,0.16700000,0.16700000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00015454,2.68162961,158.11869759,0.08098019,0.06731926,-0.04729923,-0.01740920,-0.01507370,-0.03107013,-0.02873463,0.00457421,0.05179481,-0.00475517,52.66587227,6.33333333,1.79833333,0.05483692,151.33333333,70.50000000,183.16666667,0.30166667,2.10533333,2.38116667,1.10616667,2.13427333,0.57350000,1.66890850,0.04327183,1.27500000,7.18102707,0.03834181,0.15945896,0.39528007,0.36312117,0.02754257,0.00824381,0.10408151,0.03074735,0.33321909,0.08510972,0.31714191,0.08316648,17.69811928,8.40632645,13.88087787,4.15199070,0.33699053,1.86396181,0.07160641,14.46614911,0.71987556,2771.03515953,2.27494810,753.47176058
AlCrFeCoCuNi,FCC+BCC,CAST,,,1,1273.15000000,47.00000000,,,,,,10.1007/s11661-005-0218-9,2005,Mechanical performance of the Al x CoCrCuFeNi high-entropy alloy system with multiprincipal elements,S4,AlCrFeCoCuNi,1.43323246,1.42116372,1629.65666667,12.17845264,2.89872736,0.16700000,0.16700000,0.16700000,0.16700000,0.16700000,0.16700000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00015454,2.68162961,158.11869759,0.08098019,0.06731926,-0.04729923,-0.01740920,-0.01507370,-0.03107013,-0.02873463,0.00457421,0.05179481,-0.00475517,52.66587227,6.33333333,1.79833333,0.05483692,151.33333333,70.50000000,183.16666667,0.30166667,2.10533333,2.38116667,1.10616667,2.13427333,0.57350000,1.66890850,0.04327183,1.27500000,7.18102707,0.03834181,0.15945896,0.39528007,0.36312117,0.02754257,0.00824381,0.10408151,0.03074735,0.33321909,0.08510972,0.31714191,0.08316648,17.69811928,8.40632645,13.88087787,4.15199070,0.33699053,1.86396181,0.07160641,14.46614911,0.78123817,2771.03515953,2.27494810,674.30600555
AlCrFeCuNi,FCC+BCC+B2,POWDER,,,1,293.15000000,1511.00000000,,5.00000000,,,,10.1016/j.jallcom.2019.01.341,2019,Structure formation and mechanical properties of the high-entropy AlCuNiFeCr alloy prepared by mechanical alloying and spark plasma sintering,S4,AlCrFeCuNi,1.44331507,1.42998586,1601.98800000,12.40733710,2.91677453,0.20000000,0.20000000,0.20000000,0.20000000,0.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00013869,2.70398476,139.94032098,0.08980402,0.10393184,-0.04758414,-0.09442967,-0.09478666,-0.08030185,-0.08065884,0.06725805,0.13075715,0.19604430,51.41240772,5.80000000,1.78200000,0.07963887,145.60000000,69.40000000,178.00000000,0.30000000,2.01640000,2.30240000,1.18300000,1.79954800,0.65780000,1.78860560,0.06976420,1.11940000,6.88079715,0.03882635,0.16321097,0.43815409,0.40310310,0.02829126,0.00929539,0.10877683,0.03507329,0.36162593,0.10041959,0.34142434,0.09715379,17.53044584,8.69393267,15.66057338,3.50015202,0.31026690,1.85714286,0.07936050,2.35286969,0.18299138,2799.99551932,2.31153669,1920.14723620
AlCrFeCuNi,FCC+BCC+B2,POWDER,,,1,673.15000000,1366.00000000,,17.00000000,,,,10.1016/j.jallcom.2019.01.341,2019,Structure formation and mechanical properties of the high-entropy AlCuNiFeCr alloy prepared by mechanical alloying and spark plasma sintering,S4,AlCrFeCuNi,1.44331507,1.42998586,1601.98800000,12.40733710,2.91677453,0.20000000,0.20000000,0.20000000,0.20000000,0.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00013869,2.70398476,139.94032098,0.08980402,0.10393184,-0.04758414,-0.09442967,-0.09478666,-0.08030185,-0.08065884,0.06725805,0.13075715,0.19604430,51.41240772,5.80000000,1.78200000,0.07963887,145.60000000,69.40000000,178.00000000,0.30000000,2.01640000,2.30240000,1.18300000,1.79954800,0.65780000,1.78860560,0.06976420,1.11940000,6.88079715,0.03882635,0.16321097,0.43815409,0.40310310,0.02829126,0.00929539,0.10877683,0.03507329,0.36162593,0.10041959,0.34142434,0.09715379,17.53044584,8.69393267,15.66057338,3.50015202,0.31026690,1.85714286,0.07936050,2.35286969,0.42019666,2799.99551932,2.31153669,1342.05047683
AlCrFeCuNi,FCC+BCC+B2,POWDER,,,1,873.15000000,410.00000000,,35.00000000,,,,10.1016/j.jallcom.2019.01.341,2019,Structure formation and mechanical properties of the high-entropy AlCuNiFeCr alloy prepared by mechanical alloying and spark plasma sintering,S4,AlCrFeCuNi,1.44331507,1.42998586,1601.98800000,12.40733710,2.91677453,0.20000000,0.20000000,0.20000000,0.20000000,0.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00013869,2.70398476,139.94032098,0.08980402,0.10393184,-0.04758414,-0.09442967,-0.09478666,-0.08030185,-0.08065884,0.06725805,0.13075715,0.19604430,51.41240772,5.80000000,1.78200000,0.07963887,145.60000000,69.40000000,178.00000000,0.30000000,2.01640000,2.30240000,1.18300000,1.79954800,0.65780000,1.78860560,0.06976420,1.11940000,6.88079715,0.03882635,0.16321097,0.43815409,0.40310310,0.02829126,0.00929539,0.10877683,0.03507329,0.36162593,0.10041959,0.34142434,0.09715379,17.53044584,8.69393267,15.66057338,3.50015202,0.31026690,1.85714286,0.07936050,2.35286969,0.54504154,2799.99551932,2.31153669,1078.63658439
AlCrFeCuNi,FCC+BCC+B2,POWDER,,,1,1073.15000000,48.00000000,,35.00000000,,,,10.1016/j.jallcom.2019.01.341,2019,Structure formation and mechanical properties of the high-entropy AlCuNiFeCr alloy prepared by mechanical alloying and spark plasma sintering,S4,AlCrFeCuNi,1.44331507,1.42998586,1601.98800000,12.40733710,2.91677453,0.20000000,0.20000000,0.20000000,0.20000000,0.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00013869,2.70398476,139.94032098,0.08980402,0.10393184,-0.04758414,-0.09442967,-0.09478666,-0.08030185,-0.08065884,0.06725805,0.13075715,0.19604430,51.41240772,5.80000000,1.78200000,0.07963887,145.60000000,69.40000000,178.00000000,0.30000000,2.01640000,2.30240000,1.18300000,1.79954800,0.65780000,1.78860560,0.06976420,1.11940000,6.88079715,0.03882635,0.16321097,0.43815409,0.40310310,0.02829126,0.00929539,0.10877683,0.03507329,0.36162593,0.10041959,0.34142434,0.09715379,17.53044584,8.69393267,15.66057338,3.50015202,0.31026690,1.85714286,0.07936050,2.35286969,0.66988642,2799.99551932,2.31153669,866.92482979
Hf150Zr249Ta99(Ti3Nb2)100,BCC,WROUGHT,,,1,4.35000000,2283.33333333,,,,,100.00000000,10.1016/j.msea.2017.10.073,2018,Mechanical properties and thermally activated plasticity of the Ti30Zr25Hf15Nb20Ta10 high entropy alloy at temperatures 4.2–350 K,S4,Hf150Zr249Ta99(Ti3Nb2)100,1.67694080,1.67757936,2368.51903808,19.75810493,3.40610810,0.15000000,0.24900000,0.09900000,0.30100000,0.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00013296,3.17438964,135.70903808,0.14486199,0.08924234,-0.00979010,0.06938692,0.02606115,0.01376727,-0.02955851,-0.01520597,0.03986368,0.05432936,100.54458128,4.29959920,1.45958918,0.05506965,125.30961924,40.23046092,102.80260521,0.35052104,2.30440882,2.47480461,0.64512625,4.33245391,0.45132665,0.97053677,0.01280561,1.82967836,8.45011805,0.04164848,0.12818025,0.25486299,0.33019126,0.03261420,0.00971315,0.09802074,0.02899589,0.16624749,0.04251276,0.22671701,0.06531274,11.86708540,5.14973095,6.48588609,5.48340009,1.00764134,2.07939153,0.08236283,4.53872725,0.00183659,1367.42388914,1.95856585,1338.44634354
Hf150Zr249Ta99(Ti3Nb2)100,BCC,WROUGHT,,,1,77.15000000,1850.00000000,,,,,100.00000000,10.1016/j.msea.2017.10.073,2018,Mechanical properties and thermally activated plasticity of the Ti30Zr25Hf15Nb20Ta10 high entropy alloy at temperatures 4.2–350 K,S4,Hf150Zr249Ta99(Ti3Nb2)100,1.67694080,1.67757936,2368.51903808,19.75810493,3.40610810,0.15000000,0.24900000,0.09900000,0.30100000,0.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00013296,3.17438964,135.70903808,0.14486199,0.08924234,-0.00979010,0.06938692,0.02606115,0.01376727,-0.02955851,-0.01520597,0.03986368,0.05432936,100.54458128,4.29959920,1.45958918,0.05506965,125.30961924,40.23046092,102.80260521,0.35052104,2.30440882,2.47480461,0.64512625,4.33245391,0.45132665,0.97053677,0.01280561,1.82967836,8.45011805,0.04164848,0.12818025,0.25486299,0.33019126,0.03261420,0.00971315,0.09802074,0.02899589,0.16624749,0.04251276,0.22671701,0.06531274,11.86708540,5.14973095,6.48588609,5.48340009,1.00764134,2.07939153,0.08236283,4.53872725,0.03257310,1367.42388914,1.95856585,1170.35137963
